,X.x,FLOCKCODE,FEED.COST,X.y,OFEED.COST,X.x.x,VAC.COST.x,X.y.y,ANTI.COST,X.x.x.x,OPROD.COST,VAC.COST.y,X.y.y.y,O.COST,X.x.x.x.x,WORKERNO.x,TIMESPENT.x,TIMESPENTPERWEEK.x,WORKERNO.y,TIMESPENT.y,TIMESPENTPERWEEK.y,Week_raising,Week_raising_midle,Week_raising_end,Time_midle,Time_end,Salary.hour,Lab.cost,farm,cycle,week,Farm_flock_week,nodead,CHICKENTOTAL,mortality,Status,number,Lab.cost.chicken,X.y.y.y.y,DOC.COST,X,chickensellingpricesum,numbersellsum,Revenue,No,Farm,FarmID,Cycle,day.start,day.complete,day.viparc,day_end_baseline_viparc,Total.of.chicks,total.of.death,mortality.y,death.in.last.week.y,STOP.VIPARC,death.in.last.week,AGE,SEX,EDLEVEL,COMMUNE,DISTRICT,Totalcost,Class,Profit.chicken,FEED.COST.FLOCK,OFEED.COST.FLOCK,VAC.COST.FLOCK,ANTI.COST.FLOCK,OPRO.COST.FLOCK,Ocost.COST.FLOCK,Lab.cost,DOC.FLOCK,Revenue.flock,Totalcost.flock,Profit.flock,ROI.flock,GPM.flock,Number vac use,type vaccine use,feedpricec_kg,mortality_class,Otherflock,Otherflock_class,Other_animal,Other_animal_class,experience,week_feed_plus_anti_class012,feedprice_mean210520,feed_class_new_01,Stop_business,per_week_anti,ave_body_weight,feed_plus_ofeed,num_anti_used,week_with_medical_feed,%week_with_medical_feed,ave_week_mor_per,Farm_continue_stop,Flock_follow_by_flock,num_cycle,morta_end,Num_source,ADDkg_per 1000 chicken_week,average_ADDkg_per 1000 chicken_week,num_week_anti,ave_week_mort_new,,,Week_raising,
1,2,75-0011,17278,2,77898,2,3142,2,1506,2,4795,4795,2,1708,1,1,2.5,17.5,1,3,21,27,8,19,2.5,3,11518,886886,75-001,1,1,75-00111,3,210,1.428571429,baseline,1,4223,2,15238,1,28380000,200,141900,1,75-001,1,1,10/17/2016,4/27/2017,10/17/2016,2/28/2018,210,14,0.07,0,0,0,49,F,PostHighSchool,My An town,Thap Muoi,121565,2,20335,2555000,158500,350000,299500,947000,358666.6667,886886,3200000,28380000,7868666.667,20511333,2.606710158,0.722739018,8,5,11355.55556,1,Y,1,Y,1,1,2,11355.55556,0,continue,0.19,1.5,1,5,8,0.296296296,0.295278452,continue,yes,4,0.02970297,1,8314.638991,307.9495923,5,0.002952785,,,27,307.9495923
2,3,75-0012,22070,3,52709,3,3631,3,490,3,3762,3762,3,1054,2,1,1.5,10.5,1,3,21,24,8,16,1.5,3,11518,691080,75-001,2,1,75-00121,1,204,0.490196078,baseline,1,3388,3,9804,2,12520000,78,160513,2,75-001,1,2,5/5/2017,10/20/2017,10/17/2016,2/28/2018,204,65,0.32,0,0,0,49,F,PostHighSchool,My An town,Thap Muoi,93520,2,66993,2520000,110000,350000,94000,661000,215000,691080,2000000,12520000,5950000,6570000,1.104201681,0.524760383,9,5,11200,0,Y,1,Y,1,1,2,11200,0,continue,0.24,1.6,1,4,9,0.375,1.432683541,continue,yes,4,0.073333333,1,8368.629414,348.6928923,6,0.014326835,,,24,348.6928923
3,4,75-0013,19852,4,56063,4,3683,4,368,4,3818,3818,4,20277,3,1,1.5,10.5,1,1.5,10.5,18,8,10,1.5,1.5,11518,310986,75-001,3,1,75-00131,2,202,0.99009901,baseline,1,1540,4,11881,3,2.10E+07,117,179487,3,75-001,1,3,10/17/2017,2/19/2018,10/17/2016,2/28/2018,202,79,0.39,0,0,0,49,F,PostHighSchool,My An town,Thap Muoi,115942,2,63545,2685000,83500,275000,74000,523000,4096000,310986,2400000,21000000,10136500,10863500,1.071721008,0.517309524,7,5,11933.33333,0,Y,1,Y,1,1,2,11933.33333,0,continue,0.16,1.8,1,2,8,0.444444444,2.48155375,continue,yes,4,0.008064516,1,19306.69257,1072.594032,3,0.024815538,,,18,1072.594032
4,5,75-0014,26072,5,47106,5,3619,5,1243,5,4379,4379,5,1642,4,1,1.5,10.5,1,1.5,10.5,20,8,12,1.5,1.5,11518,345540,75-001,4,1,75-00141,0,240,0,baseline,1,1440,5,11000,4,1.30E+07,85,152941,4,75-001,1,4,12/23/2017,5/4/2018,10/17/2016,2/28/2018,240,155,0.65,0,0,0,49,F,PostHighSchool,My An town,Thap Muoi,95061,2,57880,4340000,100000,375000,265000,948000,394000,345540,2640000,13000000,9062000,3938000,0.434561907,0.302923077,6,3,10850,1,Y,1,Y,1,1,2,10850,0,continue,0.2,1.53,1,4,16,0.8,4.35311106,continue,yes,4,0.625550661,1,8558.696607,427.9348303,4,0.043531111,,,20,427.9348304
5,6,75-0021,66749,6,16608,6,2419,6,128,6,3035,3035,6,744,5,2,4,28,2,4,28,18,8,10,8,8,11518,1658592,75-002,1,1,75-00211,5,505,0.99009901,baseline,1,3284,6,13366,5,49787000,484,102866,5,75-002,2,1,10/22/2016,2/25/2017,10/17/2016,2/28/2018,505,21,0.04,0,0,0,32,M,HighSchool,My An town,Thap Muoi,103049,2,-183,5920000,79700,900000,64000,1405500,375666.6667,1658592,6750000,49787000,15494866.67,34292133,2.213128649,0.688776856,7,5,11276.19048,0,Y,1,N,0,2.5,2,11276.19048,0,continue,0.22,1.4,1,3,12,0.666666667,0.234888314,continue,yes,4,0,1,3654.597333,203.0331852,4,0.002348883,,,18,203.0331852
6,7,75-0022,76053,7,10274,7,1794,7,128,7,2602,2602,7,535,6,1,3,21,1,3,21,22,8,14,3,3,11518,760188,75-002,2,1,75-00221,5,505,0.99009901,baseline,1,1505,7,12376,6,4.50E+07,500,90000,6,75-002,2,2,2/27/2017,7/31/2017,10/17/2016,2/28/2018,505,155,0.31,0,0,0,32,M,HighSchool,My An town,Thap Muoi,103762,2,-13762,6455000,24000,765000,71000,1472500,270000,760188,6250000,45000000,15307500,29692500,1.939735424,0.659833333,7,5,11226.08696,0,Y,1,Y,1,2.5,2,11226.08696,0,continue,0.18,1.5,1,2,13,0.590909091,1.208273204,continue,yes,4,0.122807018,1,3022.601486,137.3909767,4,0.012082732,,,22,137.3909766
7,8,75-0023,76072,NA,NA,8,1788,NA,NA,8,2788,2788,8,575,7,1,4,28,1,2,14,17,8,9,4,2,11518,575900,75-002,3,1,75-00231,10,600,1.666666667,baseline,1,960,8,11000,7,63070000,530,119000,7,75-002,2,3,9/26/2017,1/23/2018,10/17/2016,2/28/2018,600,70,0.12,0,0,0,32,M,HighSchool,My An town,Thap Muoi,92223,2,26777,5320000,NA,845000,NA,1538500,345000,575900,6600000,63070000,14648500,48421500,3.305560296,0.767742191,6,5,11200,0,Y,1,N,0,2.5,1,11200,0,continue,0,1.7,0,0,8,0.470588235,0.719214917,continue,yes,4,0.036363636,1,0,0,0,0.007192149,,,17,0
8,9,75-0024,95793.22222,8,4000,9,1815,8,453,9,6153,6153,9,667,8,1,4,28,1,2,14,21,8,13,4,2,11518,668044,75-002,4,1,75-00241,4,510,0.784313725,baseline,1,1310,9,10784,8,47248000,400,118120,8,75-002,2,4,12/11/2017,5/4/2018,10/17/2016,2/28/2018,510,110,0.22,0,0,0,32,M,HighSchool,My An town,Thap Muoi,119665.2222,2,-1545,6295000,6000,715000,195250,1909000,340000,668044,5500000,47248000,14960250,32287750,2.158235992,0.68336755,7,5,11445.45455,1,Y,1,Y,1,2.5,2,11445.45455,0,continue,0.33,1.7,1,4,22,1.047619048,1.128655178,continue,yes,4,0.183673469,1,2564.388154,122.1137216,7,0.011286552,,,21,122.1137216
9,10,75-0031,59497,9,3790,10,1046,9,374,10,15469,15469,10,246,9,1,4,28,2,4.5,31.5,14,8,6,4,9,11518,990548,75-003,1,1,75-00311,19,406,4.679802956,baseline,1,2440,10,14039,NA,NA,NA,0,9,75-003,3,1,10/24/2016,1/27/2017,10/17/2016,2/28/2018,406,400,0.99,1,1,1,65,M,PostHighSchool,My Hoa,Thap Muoi,94461,1,-94461,4295000,32500,300000,140000,2081500,100000,990548,5700000,1,12649000,-12649000,-0.999999921,-12648999,4,4,11453.33333,1,Y,1,Y,1,1,2,11453.33333,0,baseline-stop,0.21,1.5,1,1,15,1.071428571,24.2034172,stop,no,1,1,1,640.1268699,45.72334785,3,0.242034172,,,14,45.72334785
10,11,75-0041,67586,NA,NA,11,2637,10,661,11,3119,3119,11,536,10,1,3,21,1,3,21,18,8,10,3,3,11518,621972,75-004,1,1,75-00411,2,715,0.27972028,baseline,1,870,11,12727,9,76823000,650,118189,10,75-004,4,1,10/24/2016,2/26/2017,10/17/2016,2/28/2018,715,65,0.09,0,0,0,37,F,PostHighSchool,Tan Kieu,Thap Muoi,87266,2,30923,5440000,NA,880000,439000,2106000,383333.3333,621972,9100000,76823000,18348333.33,58474667,3.186919793,0.761160937,8,4,11452.63158,0,Y,1,Y,1,7,2,11452.63158,0,continue,0.22,1.8,0,4,19,1.055555556,0.520278356,continue,yes,3,0.009146341,1,9559.91055,531.1061417,4,0.005202784,,,18,531.1061417
