"","Farm","FLOCKCODE","DISTRICT","SEX","AGE","WORKERNO.x","experience","EDLEVEL","CHICKENTOTAL","Week_raising","feed_plus_ofeed","feedpricec_kg","X.week_with_medical_feed","per_week_anti","num_anti_used","DOC.FLOCK","numbersellsum","type.vaccine.use","mortality.y","morta_end","Otherflock_class","Other_animal_class","ave_body_weight","Revenue.flock","ROI.flock","GPM.flock","Ocost.COST.FLOCK","average_ADDkg_per.1000.chicken_week","num_week_anti"
"1","75-001","75-0011","Thap Muoi","F",49,1,"1","PostHighSchool",210,27,1,"11355.55556","0.296296296","0.19",5,3200000,"200",5,"0.07","0.02970297",1,1,"1.5",28380000,"2.606710158","0.722739018","358666.6667","307.9495923",5
"2","75-001","75-0012","Thap Muoi","F",49,1,"1","PostHighSchool",204,24,1,"11200","0.375","0.24",4,2000000,"78",5,"0.32","0.073333333",1,1,"1.6",12520000,"1.104201681","0.524760383","215000","348.6928923",6
"3","75-001","75-0013","Thap Muoi","F",49,1,"1","PostHighSchool",202,18,1,"11933.33333","0.444444444","0.16",2,2400000,"117",5,"0.39","0.008064516",1,1,"1.8",21000000,"1.071721008","0.517309524","4096000","1072.594032",3
"4","75-001","75-0014","Thap Muoi","F",49,1,"1","PostHighSchool",240,20,1,"10850","0.8","0.2",4,2640000,"85",3,"0.65","0.625550661",1,1,"1.53",13000000,"0.434561907","0.302923077","394000","427.9348303",4
"5","75-002","75-0021","Thap Muoi","M",32,2,"2.5","HighSchool",505,18,1,"11276.19048","0.666666667","0.22",3,6750000,"484",5,"0.04","0",1,0,"1.4",49787000,"2.213128649","0.688776856","375666.6667","203.0331852",4
"6","75-002","75-0022","Thap Muoi","M",32,1,"2.5","HighSchool",505,22,1,"11226.08696","0.590909091","0.18",2,6250000,"500",5,"0.31","0.122807018",1,1,"1.5",45000000,"1.939735424","0.659833333","270000","137.3909767",4
"7","75-002","75-0023","Thap Muoi","M",32,1,"2.5","HighSchool",600,17,0,"11200","0.470588235","0",0,6600000,"530",5,"0.12","0.036363636",1,0,"1.7",63070000,"3.305560296","0.767742191","345000","0",0
"8","75-002","75-0024","Thap Muoi","M",32,1,"2.5","HighSchool",510,21,1,"11445.45455","1.047619048","0.33",4,5500000,"400",5,"0.22","0.183673469",1,1,"1.7",47248000,"2.158235992","0.68336755","340000","122.1137216",7
"9","75-003","75-0031","Thap Muoi","M",65,1,"1","PostHighSchool",406,14,1,"11453.33333","1.071428571","0.21",1,5700000,"NA",4,"0.99","1",1,1,"1.5",1,"-0.999999921","-12648999","100000","45.72334785",3
"10","75-004","75-0041","Thap Muoi","F",37,1,"7","PostHighSchool",715,18,0,"11452.63158","1.055555556","0.22",4,9100000,"650",4,"0.09","0.009146341",1,1,"1.8",76823000,"3.186919793","0.761160937","383333.3333","531.1061417",4
"11","75-004","75-0042","Thap Muoi","F",37,1,"7","PostHighSchool",1300,20,0,"11442.10526","0.95","0.35",6,13000000,"331",5,"0.75","0.630580357",1,1,"1.6",40379000,"0.645905515","0.39243171","990000","377.1994662",7
"12","75-004","75-0043","Thap Muoi","F",37,1,"7","PostHighSchool",1002,17,0,"10911.11111","1.058823529","0.29",4,8500000,"895",4,"0.11","0.062827225",0,1,"1.5",100093000,"4.696683058","0.824459253","1142000","93.58448517",5
